pca_x,pca_y,cluster_label,deck_type,era
-0.32252527628015415,-0.22744805732235074,General Pool,Theme Deck,Pre-2015
-0.322159248857534,-0.15399240994186447,General Pool,MTGO Redemption,Pre-2015
-0.322159248857534,-0.15399240994186447,General Pool,MTGO Redemption,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
-0.22851320899665403,-0.22014087084285183,General Pool,Challenger Deck,2015-2019
0.08485568612760219,-0.14466720647560677,General Pool,Shandalar Enemy Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,Pre-2015
-0.2605428779547601,-0.27843594825115414,General Pool,Theme Deck,Pre-2015
-0.3479841226562233,0.16045486362285183,General Pool,Arena Starter Deck,2015-2019
-0.3210750402237198,-0.18172381086264752,General Pool,Intro Pack,Pre-2015
-0.24668579028477827,-0.08194031046286074,General Pool,Challenger Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2015-2019
-0.21906743492881678,-0.18988189557101579,General Pool,Pioneer Challenger Deck,2020-Present
-0.2605428779547601,-0.27843594825115414,General Pool,Guild Kit,2015-2019
-0.367223084883862,0.21585226831265164,General Pool,Arena Starter Deck,2020-Present
-0.3458829660827776,0.24469405849854764,General Pool,Arena Starter Deck,2015-2019
-0.2820107295349254,-0.24427031614416192,General Pool,Arena Starter Deck,2020-Present
-0.3393646197829756,0.02680141595692176,General Pool,Starter Kit,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.2755692339159082,-0.2744946593261193,General Pool,Theme Deck,Pre-2015
-0.2847822242495662,-0.2445598523053887,General Pool,Arena Starter Deck,2020-Present
-0.22922207771161102,-0.21664017914845157,General Pool,MTGO Theme Deck,Pre-2015
-0.34532332379823294,-0.03893728817450476,General Pool,Intro Pack,Pre-2015
-0.18099223944974763,0.2710865659453232,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Planeswalker Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,Pre-2015
0.22581880012605965,-0.002619536978221315,General Pool,MTGO Redemption,2015-2019
0.22581880012605965,-0.002619536978221315,General Pool,MTGO Redemption,2015-2019
-0.360366285721065,-0.005620763606957624,General Pool,Enhanced Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.3799042365025459,0.3063289307125975,General Pool,Shandalar Enemy Deck,Pre-2015
-0.26384505054366897,-0.11589927655996174,General Pool,Theme Deck,Pre-2015
2.2827470426297567,-0.1409411178354669,Commander/Brawl,Commander Deck,2020-Present
-0.36175462105451045,-0.06525937602935034,General Pool,World Championship Deck,Pre-2015
-0.360366285721065,-0.005620763606957624,General Pool,Theme Deck,Pre-2015
-0.1727051293748262,0.39006900267345657,General Pool,Pro Tour Deck,Pre-2015
-0.4196765831842374,0.6328111425896765,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
-0.3147546961336431,-0.2761296566926243,General Pool,Theme Deck,Pre-2015
-0.33263296457053365,-0.034031250590142226,General Pool,Sample Deck,Pre-2015
-0.38549409170718757,0.44856541768641467,General Pool,Sample Deck,Pre-2015
-0.4036237576651963,0.5254356189551294,General Pool,Sample Deck,Pre-2015
-0.37145431556587294,0.27065997736448244,General Pool,Sample Deck,Pre-2015
-0.3422291666714738,0.07412913626335504,General Pool,Sample Deck,Pre-2015
-0.3207197645449391,-0.11550380801250512,General Pool,Sample Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,2020-Present
-0.3647128664451665,0.20177877700165747,General Pool,Sample Deck,Pre-2015
-0.3420807554716345,-0.026566178204643492,General Pool,Welcome Deck,2015-2019
-0.3420807554716345,-0.026566178204643492,General Pool,Welcome Deck,2015-2019
-0.36253030287085,0.21780598961328523,General Pool,Sample Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,2020-Present
-0.36253030287085,0.21780598961328523,General Pool,Welcome Deck,2015-2019
-0.34286557869417844,-0.02370651173871302,General Pool,Spellslinger Starter Kit,2015-2019
-0.3462709796401946,0.08048367330290729,General Pool,Sample Deck,Pre-2015
-0.3868776745569206,0.4303301382967244,General Pool,Sample Deck,Pre-2015
-0.3420807554716345,-0.026566178204643492,General Pool,Game Night Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Halfdeck,2020-Present
-0.4512703243616347,0.825182478081776,General Pool,Intro Pack,Pre-2015
2.162162996437301,-0.0959140452649282,Commander/Brawl,Commander Deck,2020-Present
2.109381899853076,-0.06440230420286305,Commander/Brawl,Commander Deck,2020-Present
-0.3235314686704053,-0.24927656439587834,General Pool,Intro Pack,Pre-2015
-0.28518618267835777,-0.2447306452032921,General Pool,Duel Deck,2015-2019
2.1350971414748847,0.003754450496154582,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.27764752611104965,-0.04097966013980078,General Pool,Intro Pack,Pre-2015
2.1858853175932316,-0.16086712479152393,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Bundle Land Pack,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,2020-Present
-0.2779047887099064,-0.2411995230880853,General Pool,Arena Starter Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Starter Kit,2020-Present
-0.35048912086290235,0.055711163542665365,General Pool,Sample Deck,Pre-2015
-0.32350349264927464,-0.11430252956560377,General Pool,Sample Deck,Pre-2015
-0.34981881742347704,0.07534597459507275,General Pool,Sample Deck,Pre-2015
-0.32684729722938505,-0.11171766537981931,General Pool,Sample Deck,Pre-2015
-0.329741048822407,-0.08737999436069799,General Pool,Sample Deck,Pre-2015
-0.34207003494507915,0.0035759022981880495,General Pool,Sample Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,2020-Present
-0.3696615148409793,0.19868218650922342,General Pool,Sample Deck,Pre-2015
-0.3460841429646148,-0.013474044568434873,General Pool,Welcome Deck,2015-2019
-0.35048912086290235,0.055711163542665365,General Pool,Welcome Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Sample Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,2015-2019
-0.3725552664340013,0.22301985752834474,General Pool,Sample Deck,Pre-2015
-0.3621478035461491,0.1663018712539588,General Pool,Sample Deck,Pre-2015
-0.32751760066881036,-0.1313524764322267,General Pool,Game Night Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Halfdeck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.32233369327838024,-0.1873809968525163,General Pool,MTGO Theme Deck,Pre-2015
-0.3743250313534943,0.16927462705102903,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Welcome Deck,Pre-2015
-0.27010171450958037,-0.15391597250135314,General Pool,MTGO Redemption,Pre-2015
-0.27010171450958037,-0.15391597250135314,General Pool,MTGO Redemption,Pre-2015
-0.3235314686704053,-0.24927656439587834,General Pool,Arena Starter Deck,2015-2019
-0.3269138189576636,-0.14599495170646426,General Pool,Intro Pack,Pre-2015
-0.3269138189576636,-0.14599495170646426,General Pool,Arena Starter Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Guild Kit,2015-2019
-0.31752125286706173,0.09811624236473704,General Pool,Intro Pack,Pre-2015
-0.335614518230828,0.012859612629648298,General Pool,Game Night Deck,2020-Present
1.2542015131494837,0.025286579747217208,Commander/Brawl,Historic Brawl Precon Deck,2020-Present
-0.08329712388508145,-0.06728471082833776,General Pool,Intro Pack,2015-2019
-0.3380949882043644,-0.13814387112584559,General Pool,Theme Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Enhanced Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.40521117144425345,0.46184058321709853,General Pool,Intro Pack,Pre-2015
1.9420183498965655,0.010281066965099395,Commander/Brawl,Commander Deck,2015-2019
1.9420183498965655,0.010281066965099395,Commander/Brawl,Commander Deck,2015-2019
-0.32497657350371545,-0.23006340959971017,General Pool,World Championship Deck,Pre-2015
-0.32861772566404995,0.23706812654139986,General Pool,World Championship Deck,Pre-2015
-0.32462432153993687,-0.024243475598084374,General Pool,World Championship Deck,Pre-2015
-0.2755692339159082,-0.2744946593261193,General Pool,Archenemy Deck,Pre-2015
-0.31773338378556387,-0.23909032688808265,General Pool,Starter Kit,2020-Present
-0.21733844157743296,0.6002269522296427,General Pool,Intro Pack,Pre-2015
1.589488258230916,-0.1453297896334815,Commander/Brawl,Commander Deck,2020-Present
1.0046714693562429,-0.1619012511724227,Commander/Brawl,Commander Deck,Pre-2015
1.0046714693562429,-0.1619012511724227,Commander/Brawl,Commander Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.32252527628015415,-0.22744805732235074,General Pool,MTGO Theme Deck,Pre-2015
2.4970907868431467,-0.11507534392471072,Commander/Brawl,Commander Deck,2020-Present
2.6581699537420986,0.07591816791811234,Commander/Brawl,Commander Deck,2020-Present
-0.05918715434255448,-0.18855296565785495,General Pool,Intro Pack,2015-2019
-0.32497657350371545,-0.23006340959971017,General Pool,Advanced Deck,Pre-2015
-0.34932394518978616,-0.017539260916271004,General Pool,Theme Deck,Pre-2015
1.463823453461735,0.009353571614090506,Commander/Brawl,Commander Deck,2015-2019
-0.3162999275235022,-0.2535999943001689,General Pool,World Championship Deck,Pre-2015
-0.37179998223777294,0.21770435874754823,General Pool,Intro Pack,Pre-2015
-0.03517940690261684,-0.14733362236178116,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Challenger Deck,2020-Present
3.046810576619739,0.059848689945949995,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.3304298628353637,-0.13402866958700624,General Pool,Shandalar Enemy Deck,Pre-2015
-0.2555522222034051,0.058826144542262204,General Pool,Shandalar Enemy Deck,Pre-2015
-0.2569056679038014,-0.2699093193803887,General Pool,MTGO Redemption,Pre-2015
-0.2569056679038014,-0.2699093193803887,General Pool,MTGO Redemption,Pre-2015
-0.33091099689105674,-0.08466786173587967,General Pool,Planeswalker Deck,2015-2019
-0.3459988734026713,-0.11225495304258964,General Pool,Planeswalker Deck,2020-Present
-0.3695794762853691,0.0492765369565481,General Pool,Planeswalker Deck,2015-2019
-0.34152559209835515,-0.13004991815409706,General Pool,Duel Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Planeswalker Deck,2015-2019
-0.34152559209835515,-0.13004991815409706,General Pool,Duel Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Archenemy Deck,2015-2019
-0.34152559209835515,-0.13004991815409706,General Pool,Duel Deck,Pre-2015
-0.4014543905753393,0.26407118571748267,General Pool,Arena Starter Deck,2015-2019
1.5450058505324558,-0.1771055518403878,Commander/Brawl,Commander Deck,2020-Present
0.3678864155631581,-0.08639346028608169,General Pool,Planechase Deck,Pre-2015
0.3678864155631581,-0.08639346028608169,General Pool,Planechase Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.2886173872418451,-0.24317952349289162,General Pool,Arena Starter Deck,2020-Present
-0.34527840920945047,0.021966327699752375,General Pool,Theme Deck,Pre-2015
-0.34532332379823294,-0.03893728817450476,General Pool,Theme Deck,Pre-2015
-0.3404362992123924,-0.1360911465606791,General Pool,Theme Deck,Pre-2015
-0.15759262142500727,0.5118396751855266,General Pool,Theme Deck,Pre-2015
-0.22922207771161102,-0.21664017914845157,General Pool,Shandalar Enemy Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Box Set,2020-Present
-0.2675918139160395,-0.272231737722107,General Pool,Theme Deck,Pre-2015
-0.34763072208588014,0.012746913315344832,General Pool,Arena Starter Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
1.1596677408434182,0.05187502009844008,Commander/Brawl,Historic Brawl Precon Deck,2020-Present
-0.12615768342004716,2.022699142348367,MTGO/Digital (Pre-2015),Box Set,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.2748869827511499,0.011621216507892274,General Pool,Arena Starter Deck,2020-Present
-0.07134254208195978,-0.1282460608255044,General Pool,Intro Pack,2015-2019
0.13266305113662596,-0.03726939187525474,General Pool,MTGO Redemption,Pre-2015
0.13266305113662596,-0.03726939187525474,General Pool,MTGO Redemption,Pre-2015
-0.24016655525142666,-0.04311104887480066,General Pool,Shandalar Enemy Deck,Pre-2015
-0.26362923341885175,-0.19024520774194986,General Pool,Event Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
-0.5243407834815015,2.3027832599667515,MTGO/Digital (Pre-2015),MTGO Redemption,2015-2019
-0.5243407834815015,2.3027832599667515,MTGO/Digital (Pre-2015),MTGO Redemption,2015-2019
0.10245149737239129,2.105756185745943,MTGO/Digital (Modern),MTGO Redemption,2015-2019
0.10245149737239129,2.105756185745943,MTGO/Digital (Modern),MTGO Redemption,2015-2019
0.1854867313286006,0.9708856332779705,MTGO/Digital (Modern),MTGO Redemption,2020-Present
0.1854867313286006,0.9708856332779705,MTGO/Digital (Modern),MTGO Redemption,2020-Present
2.3183758306723288,-0.12216817397747864,Commander/Brawl,Commander Deck,2020-Present
2.3996039538705367,0.07439224099053049,Commander/Brawl,Commander Deck,2020-Present
2.3996039538705367,0.07439224099053049,Commander/Brawl,Commander Deck,2020-Present
1.891654880026414,0.12401403307462117,Commander/Brawl,Commander Deck,2020-Present
1.422477141899428,0.045220052864146154,Commander/Brawl,Commander Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Challenger Deck,2015-2019
2.1244434855990515,-0.1783658621976798,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
-0.364914611979279,0.07154863231487513,General Pool,Shandalar Enemy Deck,Pre-2015
1.4987802020154548,-0.03679149002622459,Commander/Brawl,Commander Deck,2020-Present
1.4987802020154548,-0.03679149002622459,Commander/Brawl,Commander Deck,2020-Present
-0.05918715434255448,-0.18855296565785495,General Pool,Event Deck,Pre-2015
-0.4057250191958285,0.4096691046397858,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.2951226057989588,-0.24438158541967064,General Pool,Arena Promotional Deck,2020-Present
-0.10178455430573277,0.21200052285757914,General Pool,Intro Pack,2015-2019
-0.22922207771161102,-0.21664017914845157,General Pool,Shandalar Enemy Deck,Pre-2015
-0.34671753170391867,0.16747190985073312,General Pool,Enhanced Deck,Pre-2015
-0.3635303686736334,0.005442936561375122,General Pool,Theme Deck,Pre-2015
-0.3459988734026713,-0.11225495304258964,General Pool,Arena Starter Deck,2015-2019
-0.3071569429311111,-0.2212732907834334,General Pool,Intro Pack,2015-2019
-0.1194669240857377,-0.1514834201906542,General Pool,Duel Deck,Pre-2015
-0.28059566444873807,-0.24609867375863972,General Pool,Duel Deck,2015-2019
-0.3828237384848304,0.3660588792534921,General Pool,Theme Deck,Pre-2015
1.649009661510747,-0.14757247241452817,Commander/Brawl,Commander Deck,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,2015-2019
-0.2483765023268203,-0.18432448519804118,General Pool,Clash Pack,2015-2019
-0.31639104391645523,-0.18525527104716227,General Pool,World Championship Deck,Pre-2015
-0.3820886007498381,0.19029096844491789,General Pool,Theme Deck,Pre-2015
-0.07775369663835893,-0.07067453379406313,General Pool,MTGO Redemption,Pre-2015
-0.07775369663835893,-0.07067453379406313,General Pool,MTGO Redemption,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,Pre-2015
-0.32133304816227415,-0.1633109410655573,General Pool,Game Night Deck,2020-Present
-0.2750816961384229,-0.17441854372915105,General Pool,MTGO Redemption,Pre-2015
-0.2750816961384229,-0.17441854372915105,General Pool,MTGO Redemption,Pre-2015
-0.34278508155872583,-0.04868375141526693,General Pool,World Championship Deck,Pre-2015
-0.3071569429311111,-0.2212732907834334,General Pool,Starter Kit,2020-Present
-0.36171981487081584,0.22351888111287987,General Pool,Theme Deck,Pre-2015
-0.1194669240857377,-0.1514834201906542,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Theme Deck,Pre-2015
-0.33091099689105674,-0.08466786173587967,General Pool,Challenger Deck,2015-2019
1.711667980008269,-0.1897353923067675,Commander/Brawl,Commander Deck,2020-Present
-0.3569803362566043,0.17849289809329694,General Pool,Theme Deck,Pre-2015
-0.32133304816227415,-0.1633109410655573,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Theme Deck,Pre-2015
0.22293426551364598,0.010266811137392029,General Pool,MTGO Commander Deck,Pre-2015
-0.3284928982290111,0.14268975510482718,General Pool,Event Deck,Pre-2015
-0.3051492026797867,0.21751023113629903,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.3589937208322964,0.08981507588533544,General Pool,Intro Pack,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,Pre-2015
-0.32133304816227415,-0.1633109410655573,General Pool,Event Deck,Pre-2015
-0.2748015623665856,1.2295976545818461,General Pool,Intro Pack,Pre-2015
2.6677565120811204,0.27112646579144806,Commander/Brawl,Commander Deck,2020-Present
-0.37145562353358336,0.3354904889595757,General Pool,Theme Deck,Pre-2015
-0.4102052543355103,0.25562583433809627,General Pool,Starter Deck,Pre-2015
-0.3561381752638635,0.5471612844101353,General Pool,Starter Deck,Pre-2015
-0.5778552320201056,1.6618273660319867,MTGO/Digital (Pre-2015),Deck Builder's Toolkit,2015-2019
-0.0878965476112159,1.610581183728647,MTGO/Digital (Modern),Deck Builder's Toolkit,2015-2019
-0.34268710685836534,-0.0799603576066204,General Pool,Starter Deck,Pre-2015
-0.36956055603480276,0.026591211812016846,General Pool,Starter Deck,Pre-2015
2.1126792715399776,-0.14541959199933327,Commander/Brawl,Commander Deck,2020-Present
-0.34412848768704285,-0.1200314062758612,General Pool,Advanced Deck,Pre-2015
-0.38736627916422534,0.11900640006973884,General Pool,Theme Deck,Pre-2015
-0.38581550836713363,0.21962180666273884,General Pool,Enhanced Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
